ID,Health,damage,kills,rifle,sniper,pistol,smg,grenade,preplant kill,postplant kill,fast_kill_rating (first_kill),time of kills,total kills,total deaths,avg kill time,assists,team,positioning type,last x,last y,alone kills,distance to A bomb (on kill list),Avg Distance to A bomb (on kill),times in catwalk_box,times in topmid_box,times in chair_box,times in midlane_box,times in underpass_box,times in window_box,times in stairs_box,times in tetris_box,times in sandwhich_box,times in Asite_box,times in firebox_box,times in jungle_box,times in connector_box,times in opening_box,times in opening2_box,times in A_main_box,times in T_ramp_box,times in hell_box,times in palace_box,times in pillars_box,times in ticket_box,times in CT_ramp_box,alone_death,total_distance_traveled,Role
76561198152153688,0,1676,12,10,2,0,0,0,9,3,3,"[411.9925, 430.1512, 434.3705, 635.8975, 956.7528, 1005.916, 1274.201, 1275.264, 1429.0970000000002, 2076.246, 2450.1710000000007, 2706.205]",12,11,208.56477272727267,20,CounterTerrorist,VIC,167.820802495613,299.5097861892583,4,"[428.86794793653974, 156.2499479403274, 84.38354347239256, 591.4649734838064, 170.9298673148685, 704.5770851912639, 532.2333249594368, 531.4494050734706, 247.68046441647428, 581.0266110184411, 652.4347464418969, 96.32644511040141]",178.33372701580555,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,2,9994.615738422945,4.0
76561198115686363,0,1203,13,9,0,0,3,1,12,1,5,"[378.7693, 1029.481, 1038.295, 1258.512, 1399.781, 1400.875, 1884.877, 1898.535, 2483.176, 2535.057, 2541.152, 2649.542, 2769.651]",13,10,199.24014166666663,17,CounterTerrorist,VIC,176.63650614154807,374.23622144402907,0,"[622.1306562703985, 343.0577829830247, 328.567676591483, 190.8079928858888, 98.13991258168143, 98.56853255016101, 385.48395973967666, 183.62341846732912, 462.6982925747825, 100.89459124439449, 89.34509755320441, 262.34600799756623, 589.7208439662537]",196.5393239746546,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,0,0,2,5136.604110324343,1.0
76561198062948330,0,863,6,1,2,2,1,0,5,1,4,"[392.7087, 584.5156, 1022.73, 1432.848, 2441.92, 2556.592]",6,10,432.77666,11,CounterTerrorist,VIC,152.72933047377657,305.2665276411567,0,"[254.45495557764897, 174.72193923642726, 239.97187597330776, 187.05901821714585, 648.300835300078, 122.64527298638542]",406.4147234817473,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,2,5299.2995589491165,0.0
76561198255072271,0,1045,9,4,0,2,3,0,8,1,5,"[587.641, 588.7349, 592.5167, 933.8123, 1260.856, 1807.992, 1911.38, 2067.495, 2767.495]",9,11,272.48175000000003,14,CounterTerrorist,VIC,242.76765997270425,349.0002521345661,0,"[176.30017271646602, 176.03464816320448, 84.91765554191775, 85.66935468277708, 124.44841010784778, 371.8481697506366, 215.17066455231782, 379.20751974342033, 526.2553965432561]",316.22615297834875,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,2,4409.343195460843,1.0
76561198073535347,36,1922,22,7,13,1,1,0,22,0,5,"[941.7195, 943.626, 946.7202, 1261.95, 1424.19, 1822.962, 1891.315, 1900.91, 2376.505, 2381.131, 2436.138, 2464.235, 2529.244, 2650.323, 2658.761, 2661.168, 2664.262, 2696.923, 2701.08, 2783.778, 2788.466, 2792.623]",22,8,88.1382619047619,19,CounterTerrorist,ATT,178.8290520569312,235.37718795986615,3,"[212.52091143720597, 217.4640391407503, 172.6813406247611, 373.3382855728446, 117.31879716541475, 271.9297110225878, 187.36564467346997, 93.71561735071984, 541.1118888554769, 530.0761714993447, 414.8333655819928, 546.0026139302917, 330.0884396360731, 144.97076154858908, 69.67095711294083, 61.85500455948943, 87.6272000939106, 245.9459134196676, 187.31534987684685, 661.0383722006496, 660.0977123624465, 667.4405758799854]",109.80110306870377,1,2,0,0,0,0,1,0,1,2,0,2,1,1,2,2,0,0,0,0,0,0,3,6575.94670366524,1.0
76561198355692407,0,1910,18,3,15,0,0,0,18,0,5,"[366.8615, 932.3121, 1403.75, 1432.41, 2076.559, 2086.435, 2088.373, 2090.467, 2348.22, 2433.137, 2653.636, 2657.355, 2695.016, 2704.705, 2706.768, 2708.7990000000004, 2768.2140000000004, 2781.1220000000008]",18,12,142.0153235294118,20,Terrorist,VIC,180.7001629947358,459.6941484949832,2,"[616.8264566711725, 124.50049147041616, 255.7753967167534, 156.0658968774736, 208.166311246008, 337.61308835788594, 345.5426344168165, 352.4496975731245, 336.6749214622016, 337.22757300312037, 223.90691041340432, 223.07809706659668, 338.55060546358635, 216.67814687635968, 212.00927414876236, 212.0111072282021, 416.7146276410541, 500.3942124983071]",135.16636798983149,0,0,0,0,0,6,0,0,0,0,0,4,1,0,0,1,0,0,1,0,0,0,4,4645.078759304707,3.0
76561198324785976,0,845,6,1,0,1,4,0,5,1,4,"[388.6769, 585.4532, 955.2839, 1822.368, 2538.714, 2654.855]",6,13,453.23562000000004,12,Terrorist,VIC,180.1233768765841,354.03769754869177,2,"[200.1338898489309, 232.81224293148233, 40.20913948044633, 243.4917402087017, 103.80720271830018, 49.67290846496363]",423.14342372320664,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,3344.948197039897,
76561198370068230,0,912,5,0,1,1,3,0,5,0,3,"[394.6777, 400.366, 1030.169, 2365.253, 2458.703]",5,14,516.0063250000002,12,Terrorist,VIC,349.4249764086566,249.6012792445406,0,"[206.15624408785914, 167.0325067305459, 415.33054115988205, 308.44000550682955, 537.115983147778]",598.7462597649798,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4843.189903841011,
76561198301910020,0,975,10,9,0,1,0,0,10,0,5,"[935.4374, 1813.43, 1814.461, 1824.025, 1899.379, 2363.003, 2402.634, 2534.651, 2721.77, 2790.873]",10,12,206.1595111111111,10,Terrorist,VIC,176.87328992006238,398.7532150304938,4,"[188.6932966203901, 548.5835263083377, 543.4996216657489, 577.6520481304209, 446.3161206583533, 417.85078314969087, 522.5498876379887, 406.8307497151741, 183.6073609814461, 540.5112039238978]",245.25038970038966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5040.719181130664,4.0
76561198237972336,0,903,11,7,0,3,1,0,6,5,5,"[1040.233, 1043.264, 1101.928, 1110.148, 1840.215, 1905.473, 2091.373, 2354.189, 2554.748, 2577.063, 2764.963]",11,11,172.47299999999996,4,Terrorist,VIC,234.12565100409438,354.22993879205194,6,"[427.5570111395945, 410.7577050432994, 239.29383130481145, 169.28967794648767, 420.2530079052761, 327.7527990312545, 704.0530957037436, 700.730342856038, 173.3121221846331, 38.719701017861325, 670.172553039443]",196.7345541899849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,5595.503016706288,4.0
76561198072474628,-5,239,4,2,0,0,2,0,2,2,4,"[427.4019, 549.5614, 1678.63, 1678.724]",4,3,417.1073666666666,5,CounterTerrorist,VIC,463.7233413140963,222.92159685225258,0,"[685.0904853652142, 479.70495058174726, 570.6027790421249, 570.8562647392899]",379.029293124692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1746.5079660042388,2.0
76561198239152652,-13,429,11,7,0,0,4,0,10,1,5,"[571.13, 637.2112, 645.0571, 1135.914, 1161.797, 1162.172, 1597.3570000000002, 1656.999, 1657.249, 1666.314, 1681.475]",11,4,111.0345,9,CounterTerrorist,VIC,538.4849843634236,264.67174692110956,1,"[108.5134074575086, 239.90620881266088, 300.88836681245016, 335.49230196426225, 335.3845414385096, 335.6129494670076, 133.60432689584005, 639.707561149499, 639.5812281707935, 519.0009073010385, 530.4413070172004]",153.22728995596918,0,0,0,1,0,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2293.583255827276,1.0
76561198140201574,11,1037,10,10,0,0,0,0,10,0,5,"[565.0345, 610.5161, 970.2739, 1133.007, 1554.126, 1601.296, 1609.892, 1609.986, 1654.28, 1672.754]",10,4,123.07994444444445,11,CounterTerrorist,ATT,254.76157691557808,406.28993964194376,0,"[154.26754661541634, 118.67578438361697, 300.39121435472026, 222.22996196397472, 426.33906727905077, 92.51412904101024, 98.75207105083304, 98.70016397923173, 547.0846760062668, 484.84210071738306]",159.81045045577406,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,1,2399.6308064594173,1.0
76561198231962156,61,671,5,2,2,0,1,0,4,1,5,"[617.7056, 624.4888, 933.4823, 941.3596, 1692.322]",5,4,268.6541,7,CounterTerrorist,ATT,330.90832520959253,266.31173842219164,0,"[372.92813018273955, 313.287875993959, 279.5347025917644, 266.421706390578, 566.022349190322]",316.92765475189566,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1303.8244823030695,1.0
76561198203426961,100,818,19,19,0,0,0,0,19,0,4,"[571.7864, 578.1945, 944.5479, 944.6417, 944.8918, 945.1731, 945.6107, 948.7679, 1136.571, 1179.989, 1199.276, 1199.37, 1199.714, 1599.8270000000002, 1610.736, 1610.83, 1610.924, 1611.017, 1659.25]",19,3,60.41464444444446,9,CounterTerrorist,ATT,812.1131972704231,248.2171769427504,4,"[341.2513255052678, 365.7728237283558, 378.504180046838, 378.504180046838, 378.504180046838, 378.504180046838, 377.8122433567983, 384.6798449187913, 509.48152893512196, 443.1879236167832, 617.9817367538056, 617.9817367538056, 617.9817367538056, 316.5167168453582, 127.4893990624602, 127.4893990624602, 127.4893990624602, 127.4893990624602, 594.1074644822921]",74.46220772094583,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2984.633550935666,1.0
76561198153723042,0,265,2,0,2,0,0,0,2,0,5,"[411.585, 1149.543]",2,6,737.9579999999999,4,Terrorist,VIC,266.8445373367128,336.47305758016915,1,"[328.0322692107728, 335.3561354226134]",745.2818662118408,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1854.8625598608648,3.0
76561198196759934,0,716,6,4,0,0,2,0,6,0,3,"[441.062, 567.5665, 969.4925, 1133.257, 1598.889, 1610.142]",6,12,233.81599999999997,7,Terrorist,VIC,247.6850161824917,463.1339262640174,0,"[271.2190947302408, 139.39913909605494, 328.23179906246185, 375.2489439558516, 65.25633166809885, 54.105530773188576]",190.39328720858958,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1835.1167688028888,0.0
76561198274581240,0,450,3,3,0,0,0,0,3,0,5,"[419.2746, 1550.844, 1572.1]",3,7,576.4127,5,Terrorist,VIC,726.352308832131,235.24166862089317,0,"[362.0708391379863, 273.62539699500815, 125.23671679088156]",457.9956388264476,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1907.6384936146826,
76561198092508516,-100,716,7,5,0,0,0,0,5,2,4,"[430.9654, 547.7172, 638.7741, 944.3604, 1162.297, 1679.443, 1683.757]",7,23,208.7986,9,Terrorist,VIC,309.11523337882625,200.17125004918358,1,"[335.4526406954131, 272.72555065481606, 310.46733221308364, 386.5563730969741, 372.0191698795709, 523.0739941469227, 538.3913524838862]",242.62171863141216,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2641.3464741028365,
76561198171272366,100,9,1,0,0,1,0,0,1,0,3,[441.9998],1,2,0.0,0,Terrorist,VIC,445.27722612595045,429.3582038953374,0,[313.7282036982886],0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118.9779439455276,
76561198338833710,0,1114,6,3,1,1,0,0,5,1,5,"[509.8591, 634.4719, 1489.9779999999996, 2245.781, 2250.125, 2277.785]",6,12,353.58517999999987,14,CounterTerrorist,VIC,502.0917368687854,572.184124336022,1,"[427.3659355556307, 703.8924452240914, 422.1350350192175, 533.7989625218329, 535.5088915835316, 346.19861736483375]",337.3517163618406,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5106.631799138815,2.0
76561198108350875,55,934,10,3,7,0,0,0,8,2,2,"[558.9916, 564.9301, 638.8788, 656.6316, 2168.081, 2386.271, 2515.572, 2537.138, 2548.264, 2557.578]",10,8,222.0651555555556,10,CounterTerrorist,ATT,190.20964710469872,246.653255164273,3,"[238.57742313916012, 149.84926383886614, 533.244652950109, 641.0452274277975, 573.428006653264, 198.7697581198334, 642.659624881613, 679.8989513473898, 676.0398105924417, 651.7050107258485]",267.9682208429653,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,5950.1626551265235,4.0
76561198375458023,0,1591,14,3,8,0,2,0,12,2,4,"[509.8904, 648.4741, 653.8812, 716.547, 847.1294, 1430.187, 1519.8570000000002, 1548.205, 1555.675, 2018.246, 2103.571, 2144.7960000000007, 2350.547, 2362.736]",14,10,142.5265846153846,16,CounterTerrorist,VIC,307.7977492688633,330.16783247688375,3,"[174.14729136055377, 506.61507936164054, 439.7487372093979, 191.87734872557056, 312.62771920413576, 417.38924933940683, 399.4250194664726, 414.4805722944088, 436.9440169777398, 180.2930031211433, 160.6574284560691, 427.1315435395145, 633.738463851794, 433.3782230081989]",162.4674255113573,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,4858.717353101048,3.0
76561198337761088,0,1185,12,4,3,0,3,0,10,2,4,"[511.2969, 727.0798, 729.1739, 1267.975, 1423.936, 1426.749, 1430.375, 1431.906, 1993.242, 2009.682, 2163.674, 2335.107]",12,12,165.80091818181816,12,CounterTerrorist,VIC,417.6382702281146,544.5921290576431,1,"[505.707425574319, 221.42161581586365, 207.05728632531176, 487.14664932156103, 466.4812294880065, 423.9264942244877, 427.303367143384, 426.58740975707434, 416.6919552825715, 384.974201179647, 440.65480731241917, 540.6358640560364]",168.97623077106522,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,7057.097141765713,2.0
76561198350805205,0,513,5,1,2,0,0,0,5,0,5,"[1224.187, 1228.563, 2172.52, 2251.719, 2518.635]",5,11,323.61200000000014,6,CounterTerrorist,VIC,493.3934069019302,569.4628589415703,0,"[229.06778460178876, 184.20943644519585, 281.3811535930247, 299.92812414293167, 316.74386607883423]",345.53102036926146,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,3662.113012156703,
76561198381263623,0,1096,10,10,0,0,0,0,8,2,2,"[524.6739, 743.8949, 1237.47, 1270.944, 1526.483, 2008.213, 2104.665, 2168.925, 2185.865, 2242.061]",10,8,190.8207888888889,17,Terrorist,VIC,164.24029635406512,266.40227267361786,3,"[279.10639091275806, 98.28076203998766, 397.4255589739611, 171.01429546579192, 108.52405296731105, 474.7370000013394, 439.4338512450419, 443.61258672340756, 595.661049440187, 447.1637460891605]",209.49382835293358,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5495.96029401346,4.0
76561198094744430,0,1426,17,13,4,0,0,0,13,4,5,"[502.5768, 617.3443, 636.5347, 734.581, 753.7402, 1106.763, 1124.203, 1505.386, 2103.384, 2113.51, 2181.271, 2193.054, 2258.939, 2377.957000000001, 2495.381, 2533.293, 2553.734]",17,9,128.19732499999998,14,Terrorist,VIC,179.66338545525448,434.02095959079287,3,"[382.4738656465691, 615.6471078350565, 654.4368948356637, 47.992076547419664, 42.93523622130775, 267.23463568099464, 206.8286789188049, 380.1151981332499, 98.29598966833068, 66.74287714644952, 66.70251290259735, 77.87059385910139, 277.03473450055526, 14.269338729860657, 60.35901691317391, 286.78465550089766, 469.082351908489]",133.61035539136998,0,1,0,0,0,0,0,0,0,3,1,0,1,0,2,0,1,0,0,0,1,0,1,5625.128104655264,2.0
76561198023317027,0,1147,9,7,1,0,0,1,9,0,3,"[512.7659, 715.078, 797.4968, 2023.215, 2035.28, 2056.377, 2096.383, 2100.383, 2509.6020000000008]",9,9,249.60451250000008,11,Terrorist,VIC,463.06322168063963,475.9289704505213,3,"[269.69427217010235, 83.83280703232, 332.2223484777155, 28.280506285801223, 63.397529729180604, 76.06661429975583, 55.04158896027603, 70.24302420809978, 234.5105580731311]",245.20654823787868,0,1,1,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,3,3462.3816761977196,0.0
76561198240406968,0,572,5,4,1,0,0,0,4,1,5,"[724.7982, 1509.856, 1565.864, 2026.216, 2343.514]",5,10,404.67895,9,Terrorist,VIC,144.0897172938195,307.1393416486327,2,"[107.68486724290231, 257.12079752634304, 226.33213119220758, 450.4356778311792, 610.4915125157847]",530.3806113182206,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4208.362974454972,
76561198347812567,0,1351,11,7,0,0,3,1,11,0,3,"[513.9535, 800.1848, 801.6537, 1119.796, 1128.391, 1230.844, 1245.878, 1274.82, 1427.4679999999996, 1534.547, 2341.358]",11,10,182.74045,7,Terrorist,ATT,257.6453078572821,403.91785764312414,2,"[312.6156867796626, 594.9074199374098, 595.7148933419667, 377.85486600160425, 436.4556430059454, 378.09273655337097, 237.22593145167724, 414.8210664570703, 380.06859449269353, 290.0190667939615, 147.63927558651326]",166.24280888068506,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,5400.988171370692,2.0
76561198004349810,0,637,4,4,0,0,0,0,4,0,5,"[370.3107, 1038.858, 1060.361, 1179.975]",4,9,269.88809999999995,7,CounterTerrorist,VIC,526.6265093390525,255.4743614400944,1,"[199.27974643934306, 527.7294468705267, 323.5028935771937, 206.40404439097253]",272.2628659838764,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,4341.169776425775,
76561198218834683,0,806,8,2,6,0,0,0,6,2,5,"[788.4417, 833.7617, 846.0762, 1333.875, 1604.638, 1835.895, 1842.49, 1981.794]",8,8,170.47890000000004,9,CounterTerrorist,VIC,286.4446839539871,277.0202441078103,2,"[254.38674413490116, 344.82974660198994, 343.564717908027, 245.6045687669975, 677.7711060746406, 415.00725273976303, 315.05966752879533, 646.9006238923063]",226.55231139391503,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,2948.4747771594593,3.0
