damage,kills,rifle,sniper,pistol,smg,grenade,preplant kill,postplant kill,fast_kill_rating (first_kill),total kills,total deaths,avg kill time,assists,alone kills,Avg Distance to A bomb (on kill),times in catwalk_box,times in topmid_box,times in chair_box,times in midlane_box,times in underpass_box,times in window_box,times in stairs_box,times in tetris_box,times in sandwhich_box,times in Asite_box,times in firebox_box,times in jungle_box,times in connector_box,times in opening_box,times in opening2_box,times in A_main_box,times in T_ramp_box,times in hell_box,times in palace_box,times in pillars_box,times in ticket_box,times in CT_ramp_box,alone_death,total_distance_traveled,Role,id
1676,12,10,2,0,0,0,9,3,3,12,11,208.5647727,20,4,178.333727,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,2,9994.615738,4.0,76561198152153688
1203,13,9,0,0,3,1,12,1,5,13,10,199.24014169999998,17,0,196.539324,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,0,0,2,5136.60411,1.0,76561198115686363
863,6,1,2,2,1,0,5,1,4,6,10,432.77665999999994,11,0,406.4147235,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,2,5299.299559,0.0,76561198062948330
1045,9,4,0,2,3,0,8,1,5,9,11,272.48175,14,0,316.22615299999995,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,2,4409.343195,1.0,76561198255072271
1922,22,7,13,1,1,0,22,0,5,22,8,88.1382619,19,3,109.80110309999999,1,2,0,0,0,0,1,0,1,2,0,2,1,1,2,2,0,0,0,0,0,0,3,6575.946704,1.0,76561198073535347
1910,18,3,15,0,0,0,18,0,5,18,12,142.01532350000002,20,2,135.166368,0,0,0,0,0,6,0,0,0,0,0,4,1,0,0,1,0,0,1,0,0,0,4,4645.078759,3.0,76561198355692407
845,6,1,0,1,4,0,5,1,4,6,13,453.23562000000004,12,2,423.14342369999997,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,3344.9481969999997,,76561198324785976
912,5,0,1,1,3,0,5,0,3,5,14,516.006325,12,0,598.7462598,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4843.189904,,76561198370068230
975,10,9,0,1,0,0,10,0,5,10,12,206.1595111,10,4,245.2503897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5040.719181,4.0,76561198301910020
903,11,7,0,3,1,0,6,5,5,11,11,172.47299999999998,4,6,196.7345542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,5595.503017,4.0,76561198237972336
239,4,2,0,0,2,0,2,2,4,4,3,417.1073667,5,0,379.0292931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1746.5079660000001,2.0,76561198072474628
429,11,7,0,0,4,0,10,1,5,11,4,111.0345,9,1,153.22728999999998,0,0,0,1,0,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2293.583256,1.0,76561198239152652
1037,10,10,0,0,0,0,10,0,5,10,4,123.07994440000002,11,0,159.8104505,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,1,2399.6308059999997,1.0,76561198140201574
671,5,2,2,0,1,0,4,1,5,5,4,268.6541,7,0,316.92765479999997,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1303.824482,1.0,76561198231962156
818,19,19,0,0,0,0,19,0,4,19,3,60.41464444,9,4,74.46220772,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2984.6335510000004,1.0,76561198203426961
265,2,0,2,0,0,0,2,0,5,2,6,737.9580000000001,4,1,745.2818662000001,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1854.8625600000003,3.0,76561198153723042
716,6,4,0,0,2,0,6,0,3,6,12,233.81599999999997,7,0,190.3932872,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1835.1167690000002,0.0,76561198196759934
450,3,3,0,0,0,0,3,0,5,3,7,576.4127,5,0,457.99563880000005,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1907.638494,,76561198274581240
716,7,5,0,0,0,0,5,2,4,7,23,208.7986,9,1,242.62171859999998,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2641.346474,,76561198092508516
9,1,0,0,1,0,0,1,0,3,1,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118.977944,,76561198171272366
1114,6,3,1,1,0,0,5,1,5,6,12,353.58518,14,1,337.3517164,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5106.631799,2.0,76561198338833710
934,10,3,7,0,0,0,8,2,2,10,8,222.0651556,10,3,267.9682208,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,5950.162655,4.0,76561198108350875
1591,14,3,8,0,2,0,12,2,4,14,10,142.52658459999998,16,3,162.4674255,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,4858.717353,3.0,76561198375458023
1185,12,4,3,0,3,0,10,2,4,12,12,165.80091819999998,12,1,168.97623080000002,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,7057.0971420000005,2.0,76561198337761088
513,5,1,2,0,0,0,5,0,5,5,11,323.612,6,0,345.5310204,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,3662.113012,,76561198350805205
1096,10,10,0,0,0,0,8,2,2,10,8,190.8207889,17,3,209.4938284,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5495.9602939999995,4.0,76561198381263623
1426,17,13,4,0,0,0,13,4,5,17,9,128.197325,14,3,133.6103554,0,1,0,0,0,0,0,0,0,3,1,0,1,0,2,0,1,0,0,0,1,0,1,5625.128105,,76561198094744430
1147,9,7,1,0,0,1,9,0,3,9,9,249.6045125,11,3,245.2065482,0,1,1,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,3,3462.381676,,76561198023317027
572,5,4,1,0,0,0,4,1,5,5,10,404.67895,9,2,530.3806112999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4208.362974000001,,76561198240406968
1351,11,7,0,0,3,1,11,0,3,11,10,182.74045,7,2,166.24280890000003,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,5400.988171,2.0,76561198347812567
637,4,4,0,0,0,0,4,0,5,4,9,269.8881,7,1,272.26286600000003,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,4341.169776,,76561198004349810
806,8,2,6,0,0,0,6,2,5,8,8,170.4789,9,2,226.5523114,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,2948.474777,3.0,76561198218834683
817,8,6,2,0,0,0,8,0,4,8,7,211.0970286,10,4,214.74521569999996,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,1,3845.21364,,76561198002090355
774,5,4,1,0,0,0,4,1,4,5,8,399.268675,10,0,489.18874819999996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3134.434685,2.0,76561198052089770
947,9,9,0,0,0,0,9,0,3,9,8,194.2857125,10,1,184.1562917,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3821.310531,4.0,76561197973694700
844,6,3,1,2,0,0,3,3,3,6,7,323.29682,14,0,384.9220436,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3338.65695,0.0,76561198265125607
911,8,7,0,0,0,1,5,3,5,8,7,190.1249571,9,2,215.81882009999998,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3532.322793,2.0,76561198289131921
1111,14,4,3,7,0,0,13,1,5,14,6,117.1971077,13,3,98.55475384,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3827.675115,1.0,76561198273673499
470,4,3,0,0,1,0,4,0,5,4,8,212.8473333,6,0,322.8841546,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3590.001256,,76561198201955028
850,8,5,0,3,0,0,5,3,2,8,6,226.87651430000003,6,4,271.3195827,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3425.0935369999997,,76561198130725984
239,3,0,0,0,3,0,3,0,5,3,3,0.1408,2,0,3.5480797689999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,326.38309680000003,1.0,76561198351330082
387,4,1,1,0,2,0,4,0,4,4,1,147.0143,4,1,62.52121278,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1233.707152,1.0,76561198160354649
310,4,0,0,0,4,0,3,1,3,4,2,120.08723329999998,5,1,55.85993144,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1325.849252,,76561198398366067
515,6,6,0,0,0,0,6,0,5,6,2,49.67638,4,0,49.54815332,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1671.253473,,76561198165650154
326,5,5,0,0,0,0,5,0,5,5,2,50.355275,2,0,66.71445963,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1159.5099369999998,,76561198257314740
301,4,4,0,0,0,0,3,1,5,4,3,144.44883330000002,6,0,69.12474223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2299.8327600000002,0.0,76561198105611916
555,4,1,0,0,3,0,3,1,5,4,4,124.4568667,4,0,62.13615181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1625.509149,,76561198273962443
