Unnamed: 0,file,map,date,round,tick,seconds,att_team,vic_team,att_side,vic_side,hp_dmg,arm_dmg,is_bomb_planted,bomb_site,hitbox,wp,wp_type,award,winner_team,winner_side,att_id,att_rank,vic_id,vic_rank,att_pos_x,att_pos_y,vic_pos_x,vic_pos_y,round_type,ct_eq_val,t_eq_val,avg_match_rank,attacker_mapX,attacker_mapY,victim_mapX,victim_mapY
35,003233814774911336673_0341181196.dem,de_mirage,09/28/2017 1:55:32 PM,2,19622,307.0718,Team 2,Team 1,Terrorist,CounterTerrorist,17,4,False,,Chest,UMP,SMG,600,Team 1,CounterTerrorist,76561198298401936,9,76561198201344241,9,-1089.998,688.3814,-1543.0770000000002,738.7554,NORMAL,12500,10450,7.0,424.65393799961004,200.17026291560103,334.19714408266714,190.02212677552632
36,003233814774911336673_0341181196.dem,de_mirage,09/28/2017 1:55:32 PM,2,19628,307.1656,Team 2,Team 1,Terrorist,CounterTerrorist,17,4,False,,Chest,UMP,SMG,600,Team 1,CounterTerrorist,76561198298401936,9,76561198201344241,9,-1089.244,694.7696,-1539.213,741.9727,NORMAL,12500,10450,7.0,424.80447338662515,198.88332276214828,334.96858802885555,189.3739829234703
37,003233814774911336673_0341181196.dem,de_mirage,09/28/2017 1:55:32 PM,2,19650,307.5095,Team 2,Team 1,Terrorist,CounterTerrorist,20,0,False,,RightLeg,UMP,SMG,600,Team 1,CounterTerrorist,76561198298401936,9,76561198201344241,9,-1088.907,697.6255,-1535.491,758.0641,NORMAL,12500,10450,7.0,424.8717551179567,198.30798504819984,335.71168180931954,186.1322765296086
38,003233814774911336673_0341181196.dem,de_mirage,09/28/2017 1:55:32 PM,2,19656,307.6033,Team 2,Team 1,Terrorist,CounterTerrorist,22,5,False,,Stomach,UMP,SMG,600,Team 1,CounterTerrorist,76561198298401936,9,76561198201344241,9,-1088.907,697.6255,-1535.889,753.7997,NORMAL,12500,10450,7.0,424.8717551179567,198.30798504819984,335.63222148566973,186.99136478457615
39,003233814774911336673_0341181196.dem,de_mirage,09/28/2017 1:55:32 PM,2,19662,307.6971,Team 2,Team 1,Terrorist,CounterTerrorist,22,5,False,,Stomach,UMP,SMG,600,Team 1,CounterTerrorist,76561198298401936,9,76561198201344241,9,-1088.907,697.6255,-1536.223,750.0375,NORMAL,12500,10450,7.0,424.8717551179567,198.30798504819984,335.5655387015013,187.74928192012578
40,003233814774911336673_0341181196.dem,de_mirage,09/28/2017 1:55:32 PM,2,19680,307.9784,Team 2,Team 1,Terrorist,CounterTerrorist,2,5,False,,Stomach,UMP,SMG,600,Team 1,CounterTerrorist,76561198298401936,9,76561198201344241,9,-1088.907,697.6255,-1537.963,732.7872,NORMAL,12500,10450,7.0,424.8717551179567,198.30798504819984,335.21814934685125,191.22445547904783
43,003233814774911336673_0341181196.dem,de_mirage,09/28/2017 1:55:32 PM,2,19886,311.1982,Team 2,Team 1,Terrorist,CounterTerrorist,13,0,False,,RightArm,UMP,SMG,600,Team 1,CounterTerrorist,76561198301446841,9,76561198416255853,0,-1047.969,-436.7797,-893.1993,-331.3939,NORMAL,12500,10450,7.0,433.04498810684345,426.84052976588634,463.944612361084,405.60994562266376
44,003233814774911336673_0341181196.dem,de_mirage,09/28/2017 1:55:32 PM,2,20052,313.7928,Team 2,Team 1,Terrorist,CounterTerrorist,20,0,False,,LeftLeg,MP7,SMG,600,Team 1,CounterTerrorist,76561198000823058,7,76561198287525248,9,-1009.191,-790.8652,-1029.578,-668.7852,NORMAL,12500,10450,7.0,440.7869791382336,498.17311918158566,436.71673386625076,473.5793910682668
45,003233814774911336673_0341181196.dem,de_mirage,09/28/2017 1:55:32 PM,2,20056,313.8554,Team 2,Team 1,Terrorist,CounterTerrorist,20,0,False,,RightLeg,MP7,SMG,600,Team 1,CounterTerrorist,76561198000823058,7,76561198287525248,9,-1003.935,-789.8715,-1031.006,-667.9069999999998,NORMAL,12500,10450,7.0,441.8363345681419,497.9729325201653,436.4316350165724,473.40247255557733
46,003233814774911336673_0341181196.dem,de_mirage,09/28/2017 1:55:32 PM,2,20060,313.9179,Team 2,Team 1,Terrorist,CounterTerrorist,17,5,False,,Chest,MP7,SMG,600,Team 1,CounterTerrorist,76561198000823058,7,76561198287525248,9,-996.7007,-788.1021,-1032.504,-667.1246,NORMAL,12500,10450,7.0,443.28065572236306,497.61647656895536,436.1325607330864,473.24485351170574
48,003233814774911336673_0341181196.dem,de_mirage,09/28/2017 1:55:32 PM,2,20092,314.4181,Team 2,Team 1,Terrorist,CounterTerrorist,17,5,False,,RightArm,MP7,SMG,600,Team 1,CounterTerrorist,76561198000823058,7,76561198287525248,9,-958.7968,-778.5156,-1032.346,-667.0571,NORMAL,12500,10450,7.0,450.8481335153051,495.6852202242769,436.164105283681,473.23125524296677
49,003233814774911336673_0341181196.dem,de_mirage,09/28/2017 1:55:32 PM,2,20102,314.5744,Team 2,Team 1,Terrorist,CounterTerrorist,17,5,False,,Chest,MP7,SMG,600,Team 1,CounterTerrorist,76561198000823058,7,76561198287525248,9,-968.3545,-783.675,-1032.346,-667.0571,NORMAL,12500,10450,7.0,448.9399477480991,496.7246114499312,436.164105283681,473.23125524296677
50,003233814774911336673_0341181196.dem,de_mirage,09/28/2017 1:55:32 PM,2,20118,314.8244,Team 2,Team 1,Terrorist,CounterTerrorist,9,5,False,,Chest,MP7,SMG,600,Team 1,CounterTerrorist,76561198000823058,7,76561198287525248,9,-972.4578,-785.9089,-1035.037,-666.534,NORMAL,12500,10450,7.0,448.12072778319356,497.1746436356482,435.62684967829983,473.12587369663584
53,003233814774911336673_0341181196.dem,de_mirage,09/28/2017 1:55:32 PM,2,20244,316.7939,Team 2,Team 1,Terrorist,CounterTerrorist,24,0,False,,Chest,MP7,SMG,600,Team 1,CounterTerrorist,76561198000823058,7,76561198416255853,0,-1009.969,-790.9688,-899.2336,-321.462,NORMAL,12500,10450,7.0,440.63165217391304,498.19399000590204,462.7398700721388,403.6091064332087
54,003233814774911336673_0341181196.dem,de_mirage,09/28/2017 1:55:32 PM,2,20248,316.8564,Team 2,Team 1,Terrorist,CounterTerrorist,24,0,False,,Chest,MP7,SMG,600,Team 1,CounterTerrorist,76561198000823058,7,76561198416255853,0,-1009.969,-790.9688,-899.2336,-321.462,NORMAL,12500,10450,7.0,440.63165217391304,498.19399000590204,462.7398700721388,403.6091064332087
57,003233814774911336673_0341181196.dem,de_mirage,09/28/2017 1:55:32 PM,2,20484,320.5451,Team 2,Team 1,Terrorist,CounterTerrorist,22,5,False,,Stomach,UMP,SMG,600,Team 1,CounterTerrorist,76561198301446841,9,76561198138778866,9,-1026.244,-555.6755,-672.9127,-763.2479,NORMAL,12500,10450,7.0,437.38236381360895,450.79278221522725,507.9246237473192,492.6094530001967
58,003233814774911336673_0341181196.dem,de_mirage,09/28/2017 1:55:32 PM,2,20496,320.7327,Team 2,Team 1,Terrorist,CounterTerrorist,18,4,False,,RightArm,UMP,SMG,600,Team 1,CounterTerrorist,76561198301446841,9,76561198138778866,9,-1006.026,-519.1697,-685.6141,-759.9908,NORMAL,12500,10450,7.0,441.41886839539876,443.4384758607122,505.3888012478066,491.9532912059807
59,003233814774911336673_0341181196.dem,de_mirage,09/28/2017 1:55:32 PM,2,20502,320.8265,Team 2,Team 1,Terrorist,CounterTerrorist,22,6,False,,Stomach,UMP,SMG,600,Team 1,CounterTerrorist,76561198301446841,9,76561198138778866,9,-997.0175,-504.0158,-688.9106,-761.7435,NORMAL,12500,10450,7.0,443.2174069019302,440.38563431044656,504.7306581399883,492.30638284477675
51,003233423514128089108_0008581734.dem,de_mirage,09/28/2017 1:51:55 PM,3,24390,381.544,Team 2,Team 1,Terrorist,CounterTerrorist,70,6,False,,Chest,Scout,Sniper,300,Team 1,CounterTerrorist,76561198065350259,14,76561198123789268,13,389.4967,-806.7044,-914.9044,-712.1060000000001,NORMAL,10250,16650,13.0,720.0336558393449,501.36401841432223,459.61120967050107,482.30661892583123
53,003233423514128089108_0008581734.dem,de_mirage,09/28/2017 1:51:55 PM,3,24626,385.2325,Team 2,Team 1,Terrorist,CounterTerrorist,1,0,False,,Generic,HE,Grenade,300,Team 1,CounterTerrorist,76561198065350259,14,76561198067527777,11,456.5229,-507.5404,-500.2476,-762.2056,NORMAL,10250,16650,13.0,733.4153732891401,441.09568554003533,542.397047689608,492.39947558528434
54,003233423514128089108_0008581734.dem,de_mirage,09/28/2017 1:51:55 PM,3,24628,385.2638,Team 2,Team 1,Terrorist,CounterTerrorist,1,0,False,,Generic,HE,Grenade,300,Team 1,CounterTerrorist,76561198065350259,14,76561198067527777,11,455.7224,-500.3976,-500.2476,-762.2056,NORMAL,10250,16650,13.0,733.2555542210957,439.6567268148732,542.397047689608,492.39947558528434
