"damage","rifle","sniper","pistol","smg","grenade","preplant.kill","postplant.kill","total.kills","total.deaths","avg.kill.time","assists","alone.kills","Avg.Distance.to.A.bomb..on.kill.","alone_death","total_distance_traveled","Role"
1676,10,2,0,0,0,9,3,12,11,208.5647727,20,4,178.333727,2,9994.615738,"4"
1203,9,0,0,3,1,12,1,13,10,199.2401417,17,0,196.539324,2,5136.60411,"1"
863,1,2,2,1,0,5,1,6,10,432.77666,11,0,406.4147235,2,5299.299559,"0"
1045,4,0,2,3,0,8,1,9,11,272.48175,14,0,316.226153,2,4409.343195,"1"
1922,7,13,1,1,0,22,0,22,8,88.1382619,19,3,109.8011031,3,6575.946704,"1"
1910,3,15,0,0,0,18,0,18,12,142.0153235,20,2,135.166368,4,4645.078759,"3"
975,9,0,1,0,0,10,0,10,12,206.1595111,10,4,245.2503897,2,5040.719181,"4"
903,7,0,3,1,0,6,5,11,11,172.473,4,6,196.7345542,1,5595.503017,"4"
239,2,0,0,2,0,2,2,4,3,417.1073667,5,0,379.0292931,0,1746.507966,"2"
429,7,0,0,4,0,10,1,11,4,111.0345,9,1,153.22729,0,2293.583256,"1"
1037,10,0,0,0,0,10,0,10,4,123.0799444,11,0,159.8104505,1,2399.630806,"1"
671,2,2,0,1,0,4,1,5,4,268.6541,7,0,316.9276548,1,1303.824482,"1"
818,19,0,0,0,0,19,0,19,3,60.41464444,9,4,74.46220772,0,2984.633551,"1"
265,0,2,0,0,0,2,0,2,6,737.958,4,1,745.2818662,2,1854.86256,"3"
716,4,0,0,2,0,6,0,6,12,233.816,7,0,190.3932872,0,1835.116769,"0"
1114,3,1,1,0,0,5,1,6,12,353.58518,14,1,337.3517164,2,5106.631799,"2"
934,3,7,0,0,0,8,2,10,8,222.0651556,10,3,267.9682208,3,5950.162655,"4"
1591,3,8,0,2,0,12,2,14,10,142.5265846,16,3,162.4674255,3,4858.717353,"3"
1185,4,3,0,3,0,10,2,12,12,165.8009182,12,1,168.9762308,1,7057.097142,"2"
1096,10,0,0,0,0,8,2,10,8,190.8207889,17,3,209.4938284,1,5495.960294,"4"
1351,7,0,0,3,1,11,0,11,10,182.74045,7,2,166.2428089,2,5400.988171,"2"
806,2,6,0,0,0,6,2,8,8,170.4789,9,2,226.5523114,3,2948.474777,"3"
774,4,1,0,0,0,4,1,5,8,399.268675,10,0,489.1887482,1,3134.434685,"2"
947,9,0,0,0,0,9,0,9,8,194.2857125,10,1,184.1562917,3,3821.310531,"4"
844,3,1,2,0,0,3,3,6,7,323.29682,14,0,384.9220436,2,3338.65695,"0"
911,7,0,0,0,1,5,3,8,7,190.1249571,9,2,215.8188201,0,3532.322793,"2"
1111,4,3,7,0,0,13,1,14,6,117.1971077,13,3,98.55475384,0,3827.675115,"1"
239,0,0,0,3,0,3,0,3,3,0.1408,2,0,3.548079769,2,326.3830968,"1"
387,1,1,0,2,0,4,0,4,1,147.0143,4,1,62.52121278,0,1233.707152,"1"
301,4,0,0,0,0,3,1,4,3,144.4488333,6,0,69.12474223,0,2299.83276,"0"
336,1,0,1,1,0,3,0,3,8,364.876,3,1,316.965606,0,1970.18644,"1"
515,2,2,1,0,0,5,1,6,7,173.16792,6,0,221.942306,2,2845.619061,"2"
754,8,0,0,0,0,4,4,8,7,128.5741,12,3,131.3361092,2,2676.054478,"0"
697,4,1,0,1,0,6,0,6,6,147.1011,5,5,39.31073619,4,3480.265276,"4"
673,4,3,0,0,0,4,3,7,4,148.7053333,6,1,154.8538596,1,4008.362045,"2"
769,6,0,0,0,0,5,1,6,5,171.7672,9,2,150.1199283,3,3401.61875,"4"
1001,9,1,0,0,0,9,1,10,4,85.34323333,10,4,19.34785403,2,2195.51535,"1"
995,8,0,2,0,0,8,2,10,6,72.01526667,1,0,44.45090091,2,3969.039056,"1"
